X,Y,OBJECTID,CODIGO_EST,UF,ENTIDADE_R,CORPO_DAGU,AMBIENTE,NU1FOSFORO,ME1FOSFORO,MI1FOSFORO,MA1FOSFORO,SD1FOSFORO,LATITUDE,LONGITUDE
-40.32383,-5.321479999825513,1448,MNT01,CE,COGERH,Informação não disponível,2,4,0.193,0.11,0.322,0.091,-5.32148,-40.32383
-46.89972,-22.378329999335083,1449,MOCA02990,SP,CETESB,Reservatório Cachoeira de Cima,2,6,0.035,0.02,0.05,0.01,-22.37833,-46.89972
-45.31917,-23.578059999307612,1450,MOCO02900,SP,CETESB,Rio Mocooca,1,6,0.02,0.02,0.02,0,-23.57806,-45.31917
-46.6919,-22.265799999337727,1451,MOGU02100,SP,CETESB,Rio Mogi-Guaçu,1,6,0.073,0.06,0.1,0.015,-22.2658,-46.6919
-46.9697,-22.363599999335449,1452,MOGU02160,SP,CETESB,Rio Mogi-Guaçu,1,6,0.148,0.09,0.2,0.057,-22.3636,-46.9697
-47.1322,-22.298899999336943,1453,MOGU02200,SP,CETESB,Rio Mogi-Guaçu,1,6,0.183,0.1,0.3,0.075,-22.2989,-47.1322
-47.1853,-22.289199999337161,1454,MOGU02210,SP,CETESB,Rio Mogi-Guaçu,1,6,0.183,0.1,0.3,0.075,-22.2892,-47.1853
-47.2553,-22.09639999934172,1455,MOGU02250,SP,CETESB,Rio Mogi-Guaçu,1,6,0.167,0.1,0.2,0.052,-22.0964,-47.2553
-47.2558,-22.097199999341676,1456,MOGU02260,SP,CETESB,Rio Mogi-Guaçu,1,6,0.2,0.1,0.3,0.063,-22.0972,-47.2558
-47.3197,-21.941699999345403,1457,MOGU02300,SP,CETESB,Rio Mogi-Guaçu,1,6,0.283,0.1,1,0.354,-21.9417,-47.3197
-47.3683,-21.925599999345728,1458,MOGU02350,SP,CETESB,Rio Mogi-Guaçu,1,6,0.133,0.1,0.2,0.052,-21.9256,-47.3683
-47.4947,-21.843599999347674,1459,MOGU02450,SP,CETESB,Rio Mogi-Guaçu,1,6,0.15,0.1,0.2,0.055,-21.8436,-47.4947
-47.6392,-21.724199999350539,1460,MOGU02490,SP,CETESB,Rio Mogi-Guaçu,1,6,0.117,0.1,0.2,0.041,-21.7242,-47.6392
-48.00472,-21.202219999363141,1461,MOGU02800,SP,CETESB,Rio Mogi-Guaçu,1,6,0.063,0.037,0.074,0.014,-21.20222,-48.00472
-48.1722,-21.012199999367777,1462,MOGU02900,SP,CETESB,Rio Mogi-Guaçu,1,6,0.052,0.032,0.077,0.016,-21.0122,-48.1722
